ticker,year,actual_esg,predicted_esg,discrepancy,risk_score,risk_level
WEC,2019,32.84,30.497581,-2.3424185180664097,0.4817655890213405,Normal
EQT,2020,37.52,29.314169,-8.205831069946292,0.2860979459359864,Normal
NEM,2019,25.13,24.84782,-0.28217971801757713,0.5505177135958439,Normal
VMC,2020,33.29,26.460865,-6.829134979248046,0.33203960140168987,Normal
AKAM,2021,21.11,20.000715,-1.1092847442626947,0.5229164336863236,Normal
MCHP,2021,33.03,26.90584,-6.124160079956056,0.3555652830347472,Normal
JNJ,2022,25.82,28.36744,2.547439270019531,0.6449447854281464,Normal
A,2019,17.6,19.014467,1.4144672393798814,0.6071364332176555,Normal
SWK,2018,34.1,27.985447,-6.114553070068361,0.35588587807478417,Normal
BWA,2019,24.62,26.482096,1.862095718383788,0.622074220502723,Normal
WEC,2021,32.36,32.929523,0.5695234680175787,0.5789398574489752,Normal
DHI,2022,22.39,24.367554,1.9775537109374994,0.6259271633203162,Normal
ADP,2021,12.9,19.478785,6.578784561157226,0.779474604812466,Normal
PNR,2021,31.88,21.715729,-10.164271240234374,0.22074293827562852,High Risk
ECL,2021,25.47,23.817848,-1.6521517944335926,0.5048004448699503,Normal
TPR,2020,14.46,17.072664,2.612664260864257,0.6471214052917376,Normal
CME,2021,14.56,20.864988,6.304988327026367,0.7703377645604774,Normal
FDX,2022,20.45,21.096586,0.6465862274169929,0.5815115148870149,Normal
RSG,2019,24.53,25.515953,0.9859530639648426,0.5928365083888555,Normal
INTU,2020,17.62,23.550125,5.9301251220703115,0.757828223547598,Normal
LMT,2021,28.7,23.92492,-4.7750808715820305,0.40058533692015363,Normal
BDX,2020,32.31,27.445606,-4.864393768310549,0.39760488077019507,Normal
DLTR,2021,17.76,18.226648,0.466648330688475,0.5755068164553283,Normal
ATO,2019,38.35,28.549833,-9.80016670227051,0.2328934523576079,High Risk
YUM,2022,21.12,20.35051,-0.7694903564453135,0.5342556949799095,Normal
INTU,2021,16.7,23.427343,6.727343368530274,0.784432153243701,Normal
LYB,2019,25.97,29.057293,3.087292938232423,0.6629602148279304,Normal
DLR,2020,14.33,16.814512,2.484512252807617,0.6428448511261845,Normal
CB,2022,24.01,28.960125,4.95012496948242,0.7251246881262876,Normal
ACN,2020,13.32,21.4969,8.17690055847168,0.8328052527593283,High Risk
GPC,2021,12.75,20.44635,7.69635009765625,0.8167688276878586,High Risk
TRV,2021,21.16,21.187595,0.027595367431640483,0.5608552022716117,Normal
NUE,2021,36.75,19.970905,-16.779094696044922,0.0,High Risk
PXD,2022,36.45,37.102375,0.6523750305175753,0.5817046927418825,Normal
HBAN,2019,24.55,25.185871,0.6358711242675774,0.5811539417229041,Normal
ABT,2021,29.1,28.763832,-0.33616790771484517,0.5487160764538144,Normal
VMC,2022,29.15,26.081936,-3.068064117431639,0.45755010650382066,Normal
CPT,2020,18.24,20.591434,2.351434478759767,0.6384039194733981,Normal
MSFT,2021,14.42,19.5057,5.085699157714844,0.7296489274902982,Normal
CSCO,2019,14.08,17.035885,2.9558848571777343,0.6585750024153915,Normal
ISRG,2021,29.82,22.958406,-6.8615935516357425,0.33095642802768266,Normal
PYPL,2020,18.69,19.118332,0.4283319091796862,0.5742281610952026,Normal
FITB,2022,18.73,26.025513,7.2955126953125,0.8033925030504406,High Risk
TROW,2021,20.25,22.22223,1.9722309112548828,0.6257495364418904,Normal
ADP,2019,14.63,20.943985,6.313984985351562,0.7706379915894574,Normal
PYPL,2021,17.45,19.558306,2.108305740356446,0.6302904826669703,Normal
AVGO,2021,25.52,23.375517,-2.1444831085205074,0.48837088154106323,Normal
EIX,2019,38.87,27.827274,-11.042725677490232,0.1914280797738817,High Risk
BK,2020,23.22,22.750334,-0.4696662139892567,0.5442611112414099,Normal
HIG,2022,16.31,20.716425,4.406424942016603,0.7069809020668246,Normal
TMUS,2022,24.33,23.05423,-1.2757702636718733,0.5173606538563351,Normal
AMZN,2020,30.0,21.601147,-8.398853302001953,0.2796566108132691,Normal
JPM,2020,22.18,24.065866,1.8858664703369143,0.6228674730613449,Normal
SWKS,2022,31.34,26.403738,-4.936261978149414,0.3952065703822579,Normal
TXN,2020,18.14,20.294819,2.1548188781738276,0.6318426702315846,Normal
HSIC,2020,15.01,17.047718,2.0377180480957033,0.6279349043662305,Normal
MLM,2020,32.51,32.413357,-0.09664321899413864,0.5567092427009527,Normal
CNP,2020,31.57,29.172504,-2.397495574951172,0.47992761534758555,Normal
IBM,2021,17.24,17.014376,-0.22562431335449062,0.5524050211383802,Normal
A,2021,16.6,18.858252,2.258251571655272,0.6352943174033319,Normal
ALB,2021,36.83,25.466177,-11.363823013305662,0.18071275685500438,High Risk
LYB,2020,25.84,25.540445,-0.2995546722412108,0.5499378948790858,Normal
